key	press_time	duration	accel_x	accel_y	accel_z
m	1733580489735	459	0.56205004	8.578051	4.77495
i	1733580489276	256	0.19800001	8.89095	4.428
H	1733580489020	1312	0.29205	8.901	4.557
SP	1733580487708	873	0.29205	8.877001	4.71495
ą	1733580486835	939	0.162	9.114	3.9540002
DEL	1733580485896	1592	0.57195	8.37405	5.5480504
a	1733580484304	415	-0.81405	8.56995	5.2200003
l	1733580483889	391	0.46395	8.40495	4.8370504
a	1733580483498	236	-0.049950004	8.677951	4.9279504
c	1733580483262	300	0.37995002	8.629951	4.9279504
SP	1733580482962	304	-0.19605	8.613001	4.9450502
z	1733580482658	246	-0.49005002	8.632951	5.01195
SP	1733580482412	336	-0.15495001	8.61795	4.3560004
e	1733580482076	313	0.01905	8.476951	5.42595
i	1733580481763	338	0.23700002	8.479051	5.03595
s	1733580481425	358	-0.31095	8.470051	5.0599504
SP	1733580481067	1153	-0.14295001	8.472	5.05695
c	1733580479914	381	-0.08805001	8.467051	4.959
a	1733580479533	347	-0.30405003	8.467051	4.96605
k	1733580479186	650	0.25095	8.448	4.96395
t	1733580478536	470	-0.26805001	8.38395	5.2660503
o	1733580478066	244	0.27495003	8.379001	5.32095
p	1733580477822	461	0.47100002	8.623051	5.0070004
s	1733580477361	695	-0.18405001	8.499001	5.40705
SP	1733580476666	335	-0.16695	8.85	4.32
y	1733580476331	313	-0.67005	8.83605	4.866
m	1733580476018	460	0.22005	8.590051	4.866
e	1733580475558	325	-0.59805006	8.88405	4.6069503
i	1733580475233	403	0.246	8.87205	4.59495
z	1733580474830	268	-0.16005	8.877001	4.27005
d	1733580474562	348	-0.92805004	9.159	4.7530503
j	1733580474214	370	0.19605	8.785951	5.14095
o	1733580473844	212	0.126	8.532001	5.1319504
p	1733580473632	426	0.31605002	8.797951	5.12895
SP	1733580473206	235	-0.29595003	8.91495	4.80105
m	1733580472971	504	0.162	8.652	5.361
e	1733580472467	235	-0.75600004	8.613001	5.33295
t	1733580472232	414	-0.42600003	8.5990505	5.32305
o	1733580471818	202	0.24405001	8.592	5.2440004
p	1733580471616	414	0.012	8.596951	5.2110004
SP	1733580471202	370	-0.031050002	8.85	4.5859504
a	1733580470832	223	-0.20295002	8.52	5.043
SP	1733580470609	201	-0.64095	8.886001	4.75605
,	1733580470408	494	0.08295	8.51505	5.1670504
w	1733580469914	390	-0.23400001	8.53695	5.3640003
