key	press_time	duration	accel_x	accel_y	accel_z
a	1731282784388	300	0.28295127	7.057032	6.215357
l	1731282784533	145	-0.07477571	6.875178	7.2670026
e	1731282784655	122	-0.07477571	6.875178	7.2670026
SP	1731282784807	152	0.42652065	6.524629	7.771888
w	1731282784995	188	0.38464624	6.1046886	8.051848
z	1731282785162	167	0.38464624	6.1046886	8.051848
l	1731282785291	129	0.3595216	6.890731	7.190432
g	1731282785348	57	0.3595216	6.890731	7.190432
e	1731282785542	194	0.32004002	6.809375	6.5611196
s	1731282785687	145	-0.45762733	6.227919	7.1772714
m	1731282785774	87	-0.45762733	6.227919	7.1772714
e	1731282785840	66	-0.45762733	6.227919	7.1772714
SP	1731282786012	172	0.5377869	6.443273	7.611569
DEL	1731282786867	855	0.4121637	6.7722864	7.1222367
DEL	1731282786914	47	0.41575295	6.756733	7.0468626
DEL	1731282786966	52	0.49950173	6.712466	7.092326
DEL	1731282787017	51	0.45882374	6.6502523	7.2658057
DEL	1731282787067	50	0.4001996	6.5401826	7.3926253
e	1731282788063	996	0.44207397	6.5365934	7.5864444
d	1731282788234	171	0.15613168	6.5892353	6.882954
e	1731282788408	174	0.25663024	6.591628	8.206185
m	1731282788558	150	0.5270192	6.8201427	7.322037
SP	1731282788674	116	0.0317049	6.905088	7.1306114
w	1731282789088	414	-0.0424726	6.925427	7.836494
i	1731282789219	131	0.32123643	6.2494545	8.445468
e	1731282789296	77	0.19680966	6.8979096	7.2059855
l	1731282789439	143	0.05802595	6.7998037	6.7202425
u	1731282789585	146	0.36789647	6.4277196	7.706085
.	1731282789894	309	0.18484555	6.806982	7.240681
.	1731282790061	167	0.109471634	6.7962146	7.240681
.	1731282790217	156	0.5557331	6.5928245	7.253842
SP	1731282790469	252	0.23389842	6.753144	6.855437
t	1731282790910	441	0.1788635	6.838089	7.2753773
e	1731282791104	194	0.1788635	6.838089	7.2753773
z	1731282791282	178	0.80578303	6.6442704	7.984849
SP	1731282791438	156	0.7196414	6.929016	7.194021
w	1731282792004	566	0.360718	6.9385877	7.0193453
SP	1731282792187	183	0.33439696	6.7698936	6.9188466
s	1731282792379	192	0.04965107	6.742376	7.1772714
u	1731282792491	112	0.04965107	6.742376	7.1772714
m	1731282792698	207	0.35473597	6.5569324	7.513463
