key	press_time	duration	accel_x	accel_y	accel_z
d	1733592950761	311	0.8766704	4.5538406	9.197113
o	1733592950450	1124	-0.613759	4.723731	10.337892
SP	1733592949326	1358	-0.782453	3.0705895	8.72782
o	1733592947968	592	-1.4024931	4.089334	9.562318
ł	1733592947376	1666	-1.0986047	4.2855453	8.979366
a	1733592945710	433	-0.24975087	4.735695	8.844172
t	1733592945277	435	-1.5200406	4.888836	8.458628
s	1733592944842	456	0.55453664	4.8326044	8.120941
o	1733592944386	418	2.9910283E-4	4.339384	9.58146
z	1733592943968	1183	0.8575278	3.8437705	8.623733
SP	1733592942785	1620	-1.128515	3.4477584	10.464711
u	1733592941165	593	-0.8817552	4.5969114	7.6133633
t	1733592940572	369	-1.6779668	5.4442697	8.645268
s	1733592940203	638	0.3188436	5.5459647	8.754142
e	1733592939565	444	0.70289165	5.729315	8.409575
t	1733592939121	673	-2.2058833	4.7428737	8.939884
SP	1733592938448	468	-0.8602197	4.037888	8.793623
a	1733592937980	303	-0.6376872	4.3836513	8.782856
c	1733592937677	881	-1.6731812	3.7887356	9.149257
ń	1733592936796	1447	-1.6061822	3.5745778	8.773284
o	1733592935349	268	-1.047159	3.505186	8.858528
k	1733592935081	518	-0.9741779	3.3194432	9.169596
SP	1733592934563	825	-1.1297114	4.0151563	10.134501
o	1733592933738	335	-0.58504516	4.496114	9.713065
d	1733592933403	694	1.131506	4.989334	8.0970125
SP	1733592932709	398	-1.0627123	3.6786656	9.452248
a	1733592932311	1380	-0.2330011	3.9816568	9.358628
SP	1733592930931	396	-0.7286145	3.2333016	9.364611
,	1733592930535	1366	-0.07627122	2.8719854	8.993723
ę	1733592929169	1354	-4.0444684	4.717749	8.177173
z	1733592927815	283	-2.9970105	3.4489548	8.550752
s	1733592927532	628	-3.0245278	3.9577286	8.776874
i	1733592926904	398	-1.4733806	3.4980075	9.011669
p	1733592926506	1251	-0.17437695	3.383152	8.544769
SP	1733592925255	478	-0.24616162	3.132803	9.383753
ż	1733592924777	1751	-0.077467635	3.5793636	9.48814
u	1733592923026	305	-1.9722841	4.063013	9.659226
j	1733592922721	576	-1.2948161	3.897609	9.8219385
SP	1733592922145	1109	-1.7401803	4.409972	11.199905
e	1733592921036	745	0.50069815	4.4578285	8.027621
m	1733592920291	384	-0.47856453	3.5554354	8.088638
a	1733592919907	377	-0.45702913	3.940979	8.870493
s	1733592919530	770	0.012263216	4.3322053	8.970991
SP	1733592918760	1115	-0.8003992	2.9545379	7.36451
y	1733592917645	253	-2.3087747	4.5945187	9.783653
t	1733592917392	635	-2.751746	4.465007	9.000901
o	1733592916757	207	-1.643271	3.539882	9.32154
p	1733592916550	592	-0.8566305	2.8492537	8.611769
u	1733592915958	947	-2.0237298	3.9481573	9.716655
ł	1733592915011	1866	-1.4647065	3.7660038	9.174381
DEL	1733592913145	1131	-1.3522439	3.5291142	10.270892
m	1733592912014	2005	-1.2792628	4.106084	9.3765745
G	1733592910009	1391	-2.219044	3.7683966	8.888439
SP	1733592908618	346	-1.4276178	3.6774693	9.842278
.	1733592908272	646	-1.6935202	3.415455	10.754541
u	1733592907626	986	-1.0698909	4.0965123	9.977772
j	1733592906640	507	-1.0950154	3.5303106	9.011669
a	1733592906133	411	-0.357727	4.031906	9.479765
z	1733592905722	349	0.16779669	4.395615	9.2437725
d	1733592905373	490	-2.5002005	4.2352962	8.644072
o	1733592904883	399	-1.1644074	4.186243	10.96152
r	1733592904484	747	1.3567305	4.8182473	9.236594
SP	1733592903737	788	-0.9669995	3.7468612	10.151251
o	1733592902949	541	-0.8578269	3.5853457	8.3784685
g	1733592902408	439	-1.7533408	4.6782675	9.406784
e	1733592901969	505	-0.2114657	4.886443	8.750552
t	1733592901464	1385	-1.7162521	4.6986065	8.555537
SP	1733592900079	524	-0.54675996	4.733302	9.563514
ą	1733592899555	1647	-0.22103699	4.5011983	9.017652
s	1733592897908	3300	0.43968117	4.7021956	8.452646
SP	1733592894608	576	-0.92632145	4.7021956	8.555537
y	1733592894032	519	-2.9623144	5.157131	9.38495
w	1733592893513	357	-2.9970105	5.3449674	8.108976
a	1733592893156	278	-1.4551352	4.985745	8.179565
r	1733592892878	942	-2.6285157	4.758427	8.132905
p	1733592891936	425	0.08045866	4.7775693	9.338289
s	1733592891511	1305	0.56769717	4.5023947	8.6548395
SP	1733592890206	547	-0.97896355	5.0563335	9.756136
e	1733592889659	273	0.63230336	4.9917274	8.893225
w	1733592889386	667	0.55812585	4.921139	8.534002
a	1733592888719	316	-0.44027936	4.5622153	9.055937
k	1733592888403	724	-1.2290136	4.677071	9.906884
e	1733592887679	513	0.38344982	4.3334017	8.905189
DEL	1733592887166	1355	-0.34546378	4.1778684	9.772886
w	1733592885811	491	0.08644072	5.4777694	8.15803
i	1733592885320	326	-1.5332011	4.788337	9.677173
c	1733592884994	882	1.0058829	4.5059843	8.551949
SP	1733592884112	440	-0.9020941	4.469793	9.465408
.	1733592883672	1729	-0.22342981	3.5159538	9.375379
i	1733592881943	333	-1.0316057	4.199404	8.857332
z	1733592881610	304	0.49830532	4.9869413	8.827422
d	1733592881306	605	-1.986641	5.1008997	8.293523
o	1733592880701	450	0.47318068	4.9522457	7.4063845
w	1733592880251	1395	0.4325027	5.2719865	8.749356
a	1733592878856	353	0.74117684	4.3202415	9.112167
z	1733592878503	1122	0.14626129	3.8330028	8.825927
SP	1733592877381	521	-0.83748794	4.432704	9.295218
e	1733592876860	532	0.17736799	5.172684	8.772088
i	1733592876328	548	-0.72263247	4.4374895	9.759726
n	1733592875780	1275	-1.1883355	4.065406	9.974182
SP	1733592874505	564	-0.2641078	3.6140594	8.630911
a	1733592873941	251	-0.9490533	4.778766	8.719446
r	1733592873690	648	-2.286043	4.578965	8.365308
u	1733592873042	585	-1.236192	4.605286	8.583055
t	1733592872457	469	-1.8717855	5.1643095	8.6345005
a	1733592871988	448	0.27816564	5.0697927	8.926724
i	1733592871540	270	-0.71425754	4.4805603	8.402397
w	1733592871270	654	0.65024954	5.1212387	8.589037
a	1733592870616	476	-0.02003989	4.632804	9.096615
l	1733592870140	216	-0.9849456	3.926323	9.887741
k	1733592869924	3716	-1.0770693	4.549055	10.274482
SP	1733592866208	486	-0.83988076	4.8302116	9.037991
o	1733592865722	234	-1.2840484	4.065406	9.478569
k	1733592865488	230	-0.66999036	3.8593237	8.140083
l	1733592865258	630	-0.49172506	3.7600217	7.600203
y	1733592864628	206	-1.343869	4.1144586	8.17478
t	1733592864422	1853	-1.8143578	4.653143	8.46461
SP	1733592862569	433	-0.55513483	4.4195433	9.363414
e	1733592862136	603	0.6299106	5.0515475	8.274381
ż	1733592861533	1932	0.11874382	4.8326044	8.599805
o	1733592859601	363	-1.1045867	4.5801616	9.509675
m	1733592859238	2242	-0.23539393	4.243671	8.79123
SP	1733592856996	540	-1.3869399	4.024728	8.822337
i	1733592856456	649	-1.250549	4.7189455	9.003294
SP	1733592855807	1231	-1.364208	4.5562334	9.81476
o	1733592854576	378	-0.4881358	4.6208396	9.238987
b	1733592854198	879	1.3986049	4.4781675	7.6384883
a	1733592853319	485	-0.27846473	4.632804	9.081061
ł	1733592852834	1826	-1.1440684	4.1838503	8.888439
DEL	1733592851008	774	-1.2481561	4.1898327	9.225827
k	1733592850234	1245	-0.82911307	4.8326044	8.813962
s	1733592848989	492	0.35114673	4.72732	8.555537
SP	1733592848497	485	-1.1584252	4.845765	8.334201
t	1733592848012	435	-1.4467604	5.108078	8.075478
s	1733592847577	436	0.07686943	5.4586267	8.386844
e	1733592847141	517	0.1797608	5.4873405	8.52802
J	1733592846624	3229	-1.3725829	4.8242297	9.24138
SP	1733592843395	396	-0.7908279	4.3465624	9.396016
.	1733592842999	2072	-0.8925229	4.776373	9.992128
i	1733592840927	301	-0.34426737	4.4111686	8.3581295
z	1733592840626	322	-0.006879365	4.213761	8.813962
d	1733592840304	470	-1.9004993	4.3094735	8.40479
o	1733592839834	501	-0.55752766	4.2723846	9.156435
h	1733592839333	173	-1.1727822	4.558626	10.276875
c	1733592839160	1208	0.84436727	4.145565	8.969795
y	1733592837952	197	-2.2286153	5.331807	9.602996
w	1733592837755	1263	-0.3684947	5.341378	8.395218
SP	1733592836492	566	-0.7609176	4.210171	9.115757
o	1733592835926	370	0.011066805	5.0805607	8.407183
t	1733592835556	826	1.5254245	4.592126	8.059924
SP	1733592834730	1037	-1.2337992	4.2568316	10.087841
e	1733592833693	586	0.3475575	4.5969114	9.066704
i	1733592833107	357	-1.5116657	5.000102	8.516056
n	1733592832750	695	-1.3666009	4.982156	9.679565
d	1733592832055	321	-2.5588248	4.660321	7.887641
a	1733592831734	658	0.117547415	4.1922255	8.457432
ł	1733592831076	1216	-0.9382856	4.0941195	8.921938
k	1733592829860	1134	-0.5024927	4.2257247	8.5016985
DEL	1733592828726	123	-0.68075806	4.101298	9.199506
DEL	1733592828603	293	-0.200698	3.7241294	8.330612
DEL	1733592828310	977	-0.654437	4.241278	9.673584
k	1733592827333	135	-0.7106683	4.689035	9.806385
k	1733592827198	1163	-0.47377887	4.88405	9.412766
k	1733592826035	349	0.112761766	4.517948	8.690732
s	1733592825686	833	0.46121657	4.3848476	8.379665
SP	1733592824853	1290	-0.85902333	4.538287	9.204291
o	1733592823563	559	-1.2242279	4.5394835	9.14806
ł	1733592823004	1607	-1.0100702	4.630411	9.352647
l	1733592821397	1456	-1.0196415	4.720142	8.850154
a	1733592819941	341	-0.33110684	4.3669014	9.222238
m	1733592819600	785	-1.0040882	4.348955	9.820743
SP	1733592818815	469	-1.4623138	4.612465	9.415159
a	1733592818346	309	-1.0770693	4.8122654	8.99492
b	1733592818037	856	-1.905285	4.1898327	8.810373
y	1733592817181	644	-1.4324034	4.8326044	9.02124
h	1733592816537	268	-0.72502524	4.949853	8.636893
C	1733592816269	2280	0.5210371	4.5861435	8.887242
SP	1733592813989	323	-0.40797627	4.4075794	8.7673025
.	1733592813666	1163	-1.75693	4.7524447	10.090234
a	1733592812503	433	0.030209387	5.08415	8.548359
i	1733592812070	309	-1.2122638	4.5299125	8.566305
c	1733592811761	827	0.8252247	4.726124	8.69791
ę	1733592810934	1560	-0.4127619	4.868497	8.56152
i	1733592809374	352	-1.7724833	4.101298	8.550752
n	1733592809022	678	-1.364208	4.595715	9.636495
r	1733592808344	366	-2.8761728	5.2372904	8.044371
a	1733592807978	612	0.26021945	4.9546385	8.318648
g	1733592807366	464	0.96520483	5.1260242	9.21147
o	1733592806902	2311	0.59760743	4.589733	8.219047
SP	1733592804591	446	-0.45224348	4.2759743	8.681161
o	1733592804145	337	-0.40558344	5.003691	9.557532
d	1733592803808	709	0.5593223	4.8565326	9.188738
SP	1733592803099	406	-0.30000013	4.5945187	8.687142
e	1733592802693	457	-0.17078772	4.918746	8.5112705
i	1733592802236	323	-1.3677973	4.4841495	9.174381
n	1733592801913	1960	-0.4331009	4.1874394	9.64128
SP	1733592799953	616	-1.221835	5.0336018	9.692726
a	1733592799337	654	0.09840483	5.1343994	8.53161
t	1733592798683	635	-1.7892331	4.8182473	8.232207
o	1733592798048	286	-0.21266212	4.7213383	8.975777
p	1733592797762	793	-0.715454	4.610072	9.731011
p	1733592796969	593	-0.67477596	4.6375895	9.640084
u	1733592796376	759	-1.1799606	4.781159	8.711071
ł	1733592795617	1582	-0.54317075	5.037191	8.183154
g	1733592794035	1910	1.6127625	4.747659	8.429914
SP	1733592792125	256	-1.4659029	4.2388854	10.037592
,	1733592791869	2265	-1.2912269	4.1036906	9.078669
k	1733592789604	466	-0.89371926	4.191029	10.071092
i	1733592789138	244	-0.51445687	5.593821	8.966206
t	1733592788894	1261	1.0489537	5.514858	7.990532
d	1733592787633	511	0.7495517	5.510072	8.825927
a	1733592787122	1196	0.25543383	4.662714	8.766106
l	1733592785926	1166	-1.0698909	4.3154554	10.258928
p	1733592784760	714	-0.76331043	4.482953	9.509675
SP	1733592784046	519	-0.104985096	4.386044	8.53161
o	1733592783527	393	-1.2493526	4.4111686	9.113364
h	1733592783134	267	-0.919143	5.1678987	9.127721
c	1733592782867	2651	0.7196414	5.0733824	8.850154
i	1733592780216	254	-0.20787647	4.7835517	8.315059
c	1733592779962	2164	0.89102733	4.717749	8.719446
SP	1733592777798	1425	-1.8586249	4.0570307	9.7298155
e	1733592776373	363	0.10917253	4.99412	8.365308
i	1733592776010	256	-0.71665037	4.8230333	9.043972
w	1733592775754	632	0.11874382	4.794319	8.46102
o	1733592775122	546	-0.94785684	3.850949	8.817552
ł	1733592774576	1894	-0.89013004	4.4913282	9.199506
k	1733592772682	2028	-0.80997044	4.7596235	9.006884
g	1733592770654	459	-1.9782661	4.4925246	8.768498
