key	press_time	duration	accel_x	accel_y	accel_z
n	1731282198392	86003	-0.12861422	6.469594	7.4650083
o	1731282198571	179	-0.064008005	6.6101727	7.4010005
SP	1731282198653	82	-0.064008005	6.6101727	7.4010005
w	1731282198847	194	-0.17587246	6.4325056	7.3340015
i	1731282198933	86	-0.11246266	6.571289	7.3573313
e	1731282199038	105	-0.11246266	6.571289	7.3573313
c	1731282199315	277	-0.11365908	6.5114684	7.2376904
SP	1731282199647	332	-0.12203395	6.4642105	7.5732837
t	1731282200260	613	-0.07716853	6.5892353	7.4069824
a	1731282200440	180	0.0023928226	6.7561345	7.0654073
k	1731282200536	96	-0.10767702	6.463014	7.3812594
.	1731282200759	223	-0.1591227	6.378667	7.5439715
SP	1731282200877	118	-0.1591227	6.378667	7.5439715
s	1731282201191	314	-0.07058827	6.390631	7.39442
p	1731282201290	99	-0.07058827	6.390631	7.39442
r	1731282201412	122	-0.04007978	6.337391	7.588837
o	1731282201489	77	-0.04007978	6.337391	7.588837
b	1731282201635	146	0.060418773	6.3451676	7.6606216
u	1731282201784	149	-0.043070808	6.469594	7.3429747
j	1731282201979	195	0.016749758	6.445068	7.387242
m	1731282202171	192	0.026919255	6.527022	7.472785
y	1731282202236	65	0.026919255	6.527022	7.472785
SP	1731282202417	181	0.24047868	6.6311097	7.2963142
c	1731282202648	231	-0.16450655	6.483353	7.38784
o	1731282202759	111	0.019740786	6.5443697	7.219146
w	1731282202875	116	0.019740786	6.5443697	7.219146
SP	1731282203040	165	0.22791636	6.53779	7.5816584
b	1731282203321	281	-0.014356935	6.535397	7.2711897
a	1731282203412	91	0.09332009	6.570691	7.146763
l	1731282203534	122	0.09332009	6.570691	7.146763
i	1731282203680	146	-0.11365908	6.491728	7.4584284
s	1731282203781	101	-0.11066805	6.407979	7.496115
a	1731282203949	168	-0.11066805	6.407979	7.496115
c	1731282204181	232	-0.10229317	6.5772715	7.3046894
.	1731282204850	669	-0.22612174	6.467201	7.3196445
SP	1731282205049	199	-0.13100705	6.45105	7.4847493
M	1731282205687	638	-0.20518455	6.521638	7.4769726
a	1731282205799	112	-0.09032906	6.530013	7.3112698
m	1731282205859	60	-0.09032906	6.530013	7.3112698
SP	1731282206038	179	-0.068793654	6.4719872	7.4997044
n	1731282206313	275	-0.13758731	6.527022	7.323832
a	1731282206387	74	-0.13758731	6.527022	7.323832
d	1731282206558	171	-0.09032906	6.5629144	7.387242
z	1731282206706	148	-0.15433706	6.509674	7.3052874
i	1731282206783	77	-0.15433706	6.509674	7.3052874
e	1731282206883	100	-0.01375873	6.539584	7.365108
j	1731282206957	74	-0.01375873	6.539584	7.365108
e	1731282207047	90	0.06580263	6.5030937	7.3369923
,	1731282207750	703	-0.13280165	6.3457656	7.518847
SP	1731282207978	228	-0.18664017	6.4624157	7.635497
z	1731282208201	223	-0.050847482	6.646663	7.016354
e	1731282208374	173	-0.0526421	6.6532435	7.437491
SP	1731282208530	156	-0.17228323	6.695716	7.199405
b	1731282208910	380	-0.17407785	6.5886374	7.402197
e	1731282209097	187	-0.18005991	6.707082	7.0863442
d	1731282209255	158	-0.15254244	6.5635123	7.3663044
z	1731282209369	114	-0.15254244	6.5635123	7.3663044
i	1731282209430	61	-0.148355	6.6502523	7.09113
e	1731282209550	120	-0.148355	6.6502523	7.09113
SP	1731282209703	153	0.0071784677	6.541977	7.628319
m	1731282209794	91	0.0071784677	6.541977	7.628319
i	1731282209956	162	-0.27218357	6.538986	7.133004
a	1731282210042	86	-0.27218357	6.538986	7.133004
l	1731282210134	92	-0.20997019	6.2925253	7.771888
o	1731282210294	160	-0.19322042	6.35773	7.5062847
SP	1731282210382	88	-0.19322042	6.35773	7.5062847
j	1731282210688	306	-0.21535404	6.4624157	7.423134
a	1731282210760	72	-0.21535404	6.4624157	7.423134
k	1731282210863	103	-0.10348958	6.456434	7.3453674
i	1731282210994	131	-0.10348958	6.456434	7.3453674
s	1731282211061	67	-0.14416756	6.5054865	7.4195447
SP	1731282211210	149	-0.14416756	6.5054865	7.4195447
s	1731282211432	222	0.0047856453	6.4911294	7.5056863
e	1731282211581	149	-0.12143575	6.5018973	7.472187
n	1731282211663	82	-0.12143575	6.5018973	7.472187
s	1731282211759	96	-0.06699903	6.5659056	7.36451
SP	1731282211900	141	-0.13878371	6.4911294	7.2807612
c	1731282212122	222	0.07178468	6.4612193	7.4679995
h	1731282212182	60	0.07178468	6.4612193	7.4679995
o	1731282212345	163	-0.008973085	6.509674	7.472785
c	1731282212417	72	-0.008973085	6.509674	7.472785
i	1731282212533	116	-0.14596218	6.454639	7.3286176
a	1731282212627	94	-0.14596218	6.454639	7.3286176
z	1731282212785	158	0.020338992	6.276374	7.7790666
.	1731282212981	196	-0.24047868	6.3367925	7.3788667
SP	1731282213092	111	-0.24047868	6.3367925	7.3788667
Z	1731282213936	844	-0.20697916	6.458228	7.3340015
o	1731282214022	86	-0.20697916	6.458228	7.3340015
v	1731282214120	98	-0.13938192	6.558727	7.2622166
a	1731282214284	164	-0.13938192	6.558727	7.2622166
c	1731282214484	200	0.053240303	6.430113	7.602596
z	1731282214642	158	-0.07178468	6.510272	7.3525457
y	1731282214757	115	-0.040677983	6.497112	7.5320077
m	1731282214937	180	-0.052043892	6.7429743	7.0965137
y	1731282215012	75	-0.052043892	6.7429743	7.0965137
SP	1731282215472	460	-0.123828575	6.4295144	7.402795
w	1731282215857	385	-0.03888337	6.478567	7.3375907
SP	1731282216068	211	-0.04127619	6.430113	7.624131
s	1731282216246	178	-0.11066805	6.5677	7.285547
u	1731282216325	79	-0.11066805	6.5677	7.285547
m	1731282216487	162	-0.036490545	6.3439713	7.623533
