key	press_time	duration	accel_x	accel_y	accel_z
c	1731419005370	215	-0.7405786	7.5589266	6.669993
u	1731419005492	122	-0.26261228	7.530213	5.8833528
SP	1731419006020	528	-0.62512493	7.5068827	6.2458653
o	1731419006369	349	-0.5593223	7.435098	6.364908
r	1731419006502	133	-0.47318068	7.4398837	6.3798633
a	1731419006705	203	-0.4109673	7.402795	6.279963
z	1731419006889	184	-0.41156548	7.2233334	6.5832534
SP	1731419007001	112	-0.41156548	7.2233334	6.5832534
u	1731419007503	502	-0.43908295	7.253842	6.330212
t	1731419008205	702	-0.5665008	7.3310103	6.4360948
r	1731419008378	173	-0.7896315	7.576275	6.2877398
a	1731419008665	287	-0.8219346	7.7557364	5.8187466
t	1731419009449	784	-0.32063824	7.4793653	6.259624
ę	1731419011614	2165	-0.29970104	7.600801	6.1639113
SP	1731419012015	401	-0.3505485	7.5463643	6.174679
ł	1731419012878	863	-0.27038896	7.5344005	6.1992054
ą	1731419014358	1480	-0.41575295	7.4219375	6.3571315
c	1731419015265	907	-0.509073	7.4440713	6.2327046
z	1731419015398	133	-0.64905316	7.517052	6.4295144
n	1731419015496	98	-0.64905316	7.517052	6.4295144
o	1731419015649	153	-0.360718	7.361519	6.5198436
ś	1731419016709	1060	-0.27696922	7.4620175	6.3385873
c	1731419016982	273	-0.28414768	7.4620175	6.3439713
i	1731419017116	134	-0.24586253	7.463214	6.3182483
SP	1731419017608	492	-0.37328035	7.5463643	6.178268
g	1731419018121	513	-0.50368917	7.5457664	6.281758
s	1731419018344	223	-0.3589234	7.7258263	5.959325
y	1731419018436	92	-0.5306084	7.7826557	6.047859
SP	1731419018670	234	-0.4354937	7.8783684	5.5202417
DEL	1731419019163	493	-0.4444668	7.652845	6.1788664
DEL	1731419019321	158	-0.3152544	7.5457664	6.209973
DEL	1731419019496	175	-0.30089745	7.5463643	6.196214
d	1731419019660	164	-0.27756742	7.5726852	6.0981083
y	1731419019811	151	-0.27756742	7.5726852	6.0981083
SP	1731419020083	272	-0.53359944	7.496713	5.9790654
b	1731419020391	308	-0.7256235	7.5176506	6.3272214
y	1731419020557	166	-0.69092757	7.5900335	6.328418
ł	1731419021578	1021	-0.43010986	7.4937224	6.3044896
a	1731419022093	515	-0.45762733	7.376474	6.407381
SP	1731419022254	161	-0.45762733	7.376474	6.407381
p	1731419022681	427	-0.46779683	7.5930243	6.1274204
o	1731419022834	153	-0.36430725	7.579864	6.20758
SP	1731419023049	215	-0.40498522	7.588837	6.081957
d	1731419023166	117	-0.42771706	7.5625157	6.265008
a	1731419023365	199	-0.3894319	7.34118	6.4217377
l	1731419023710	345	-0.29790643	7.396215	6.410372
s	1731419024115	405	-0.24646074	7.402795	6.2512493
z	1731419024289	174	-0.24646074	7.402795	6.2512493
e	1731419024471	182	-0.25064817	7.2987075	6.629315
j	1731419024541	70	-0.24227329	7.3830543	6.419345
SP	1731419024782	241	-0.32841492	7.408777	6.382256
s	1731419025035	253	-0.45044887	7.408777	6.413961
t	1731419025270	235	-0.44805604	7.382456	6.471389
r	1731419025449	179	-0.3080759	7.476374	6.285347
o	1731419025523	74	-0.3475575	7.512865	6.2871413
b	1731419025714	191	-0.3475575	7.512865	6.2871413
i	1731419025827	113	-0.45702913	7.643274	6.0771713
e	1731419025924	97	-0.45702913	7.643274	6.0771713
SP	1731419026032	108	-0.6550352	7.6719875	6.0460644
DEL	1731419026736	704	-0.40079778	7.478169	6.3403816
DEL	1731419026918	182	-0.35832518	7.4626155	6.2147584
DEL	1731419027080	162	-0.37447673	7.4620175	6.4127645
DEL	1731419027249	169	-0.37986058	7.42433	6.472585
n	1731419027536	287	-0.3792624	7.4398837	6.2644095
i	1731419027668	132	-0.42053857	7.472785	6.3589263
e	1731419027795	127	-0.5778667	7.5673018	6.300302
SP	1731419027885	90	-0.5778667	7.5673018	6.300302
k	1731419028299	414	-0.3702893	7.4620175	6.236294
a	1731419028477	178	-0.33140594	7.446464	6.384051
i	1731419028524	47	-0.33140594	7.446464	6.384051
w	1731419029316	792	-0.26081768	7.652845	6.134001
DEL	1731419029435	119	-0.23569304	7.559525	6.1992054
ę	1731419030195	760	-0.21834506	7.57448	6.1645093
DEL	1731419030286	91	-0.21834506	7.57448	6.1645093
DEL	1731419030467	181	-0.20338993	7.5176506	6.218348
DEL	1731419030590	123	-0.20338993	7.5176506	6.218348
s	1731419030930	340	-0.26081768	7.4584284	6.355337
i	1731419031039	109	-0.22432712	7.431509	6.3858457
ę	1731419032183	1144	-0.2321038	7.688139	6.09093
ż	1731419033995	1812	-0.36011982	7.5523467	6.218348
y	1731419034327	332	-0.35832518	7.522436	6.1292152
c	1731419034446	119	-0.44865423	7.594819	6.13759
a	1731419034762	316	-0.31405798	7.2819576	6.661618
.	1731419035388	626	-0.34516466	7.0761747	6.7262244
SP	1731419035552	164	-0.3475575	7.152147	6.706484
j	1731419036948	1396	-0.73399836	7.1772714	6.8201427
DEL	1731419037235	287	-0.5706882	7.5146594	6.076573
J	1731419037607	372	-0.21475583	7.1952176	6.468996
e	1731419037783	176	-0.3894319	7.3322067	6.4737816
a	1731419037963	180	-0.40857446	7.3417783	6.578468
t	1731419038088	125	-0.40857446	7.3417783	6.578468
SP	1731419038317	229	-0.5288138	7.494919	6.1920266
t	1731419038521	204	-0.46959144	7.433902	6.3104715
o	1731419038587	66	-0.46959144	7.433902	6.3104715
SP	1731419038797	210	-0.4743771	7.4153576	6.4677997
d	1731419039451	654	-0.3912265	7.3375907	6.501299
u	1731419039610	159	-0.31226337	7.3609204	6.3068824
ż	1731419040518	908	-0.4121637	7.367501	6.466005
e	1731419040920	402	-0.47018966	7.2693954	6.558727
SP	1731419041106	186	-0.46061835	7.3860455	6.3182483
