key	press_time	duration	accel_x	accel_y	accel_z
d	1731438074679	0	-1.09395	6.8110504	7.557
z	1731438074930	0	-0.78195006	6.57105	7.557
i	1731438074932	253	-0.78195006	6.57105	7.557
s	1731438075022	90	-1.04295	6.57105	7.557
i	1731438075115	183	-0.62895006	6.47805	7.5550504
e	1731438075353	238	-0.94500005	6.7270503	7.5690002
j	1731438075600	247	-1.21605	6.696	7.5520506
s	1731438075712	112	-1.1179501	6.7170005	7.8250504
z	1731438075859	147	-1.1850001	6.7390504	7.4779506
y	1731438075928	69	-0.76305	6.7440004	7.0210505
SP	1731438076129	201	-1.21605	6.74595	7.5880504
r	1731438076245	116	-1.0030501	6.47805	7.5690002
z	1731438076399	154	-0.99495006	6.7650003	7.602
i	1731438076480	235	-0.84900004	6.7630506	7.602
e	1731438076600	120	-1.098	6.8749504	7.227
n	1731438076711	111	-1.065	6.7990503	7.2310505
SP	1731438076862	151	-0.69105005	6.43695	7.8439503
b	1731438077201	339	-0.72	6.98295	7.8250504
y	1731438077425	224	-1.125	6.9900002	7.05705
l	1731438077573	148	-0.85395	6.6190505	7.3410006
SP	1731438077820	247	-0.9670501	6.4870505	7.6480503
DEL	1731438080879	3059	-0.82095003	6.6240005	7.3939505
DEL	1731438081038	159	-0.67005	6.6240005	7.3939505
DEL	1731438081226	188	-0.93105006	6.63105	7.4110503
DEL	1731438081428	202	-0.82095003	6.5020504	7.3969502
DEL	1731438081609	181	-0.79200006	6.74595	7.4160004
DEL	1731438081795	186	-0.51195	6.7579503	7.4040003
DEL	1731438081965	170	-0.70605004	6.4080005	7.3939505
DEL	1731438082164	199	-0.56895	6.5659504	7.4040003
DEL	1731438082344	180	-0.63405	6.50895	7.4130006
DEL	1731438082546	382	-0.60495	6.43695	7.4130006
DEL	1731438082724	178	-1.1220001	6.7390504	7.39905
SP	1731438083389	665	-0.684	6.42705	7.39905
d	1731438084092	703	-0.68205005	6.67605	7.4130006
z	1731438084250	158	-0.91395	6.6720004	7.4440503
i	1731438084374	124	-0.57600003	6.6720004	7.1569505
e	1731438084513	139	-1.029	6.9610505	7.4659505
n	1731438084588	214	-0.90495	6.6910505	7.4490004
n	1731438084655	142	-0.67005	6.6840005	7.4560504
SP	1731438084754	99	-0.80895007	6.7170005	7.4470506
DEL	1731438085331	577	-0.56895	6.7390504	7.4490004
DEL	1731438085517	186	-0.63405	6.7099504	7.4539504
SP	1731438085762	245	-0.85905004	6.4870505	7.4610004
b	1731438086168	406	-1.0860001	6.8610005	7.4470506
y	1731438086354	186	-0.69105005	6.8820004	7.1860504
l	1731438086543	189	-1.23705	6.63105	7.4610004
SP	1731438086716	173	-1.29495	6.8250003	7.7100005
c	1731438087054	338	-0.92805004	6.8250003	7.4010005
i	1731438087187	133	-0.92805004	6.8250003	7.4010005
e	1731438087338	151	-0.98595005	6.9090004	7.3890004
k	1731438087466	128	-1.23	6.7890005	7.3890004
a	1731438087615	149	-0.84000003	6.8029504	7.39905
w	1731438087819	204	-0.71295005	6.834	7.392
y	1731438087910	91	-0.82095003	6.9040504	7.3939505
m	1731438088129	219	-0.57600003	6.7170005	7.3890004
SP	1731438088294	165	-0.933	6.6600003	7.39905
d	1731438088502	208	-0.94005007	6.9160504	7.4059505
o	1731438088636	134	-0.94305	6.7939506	7.4370003
w	1731438088770	134	-0.92595005	6.7870502	7.42005
DEL	1731438089420	650	-1.27995	6.94005	7.4350505
s	1731438089575	155	-1.02195	6.66405	7.4230504
w	1731438089791	216	-0.81105006	6.7320004	7.4280005
i	1731438089896	105	-0.59805006	6.74595	7.1860504
a	1731438090039	143	-1.041	6.7320004	7.176
d	1731438090228	189	-1.7830501	6.9949503	7.176
c	1731438090429	201	-1.539	7.0950003	6.9270005
z	1731438090554	125	-1.2900001	6.7819505	6.9300003
e	1731438090765	211	-1.0510501	6.8179502	7.2499504
n	1731438090862	97	-1.02405	6.9490504	7.2379503
i	1731438090989	127	-1.3039501	6.669	7.2310505
e	1731438091107	118	-1.077	6.6529503	7.248
m	1731438091182	75	-0.83505005	6.5659504	7.2379503
m	1731438093144	1962	-0.60300004	6.42705	7.8370504
SP	1731438093827	683	-1.05795	6.1759505	7.8490505
DEL	1731438094452	625	-1.05795	6.1710005	7.8540006
DEL	1731438094669	217	-0.67005	6.0870004	7.8420005
DEL	1731438094839	170	-0.69105005	6.3889503	7.8510003
DEL	1731438095023	184	-0.67695004	6.40605	7.8349504
SP	1731438095404	381	-0.70605004	6.1330504	7.8439503
n	1731438099315	3911	-0.96405005	6.42495	7.5880504
a	1731438099423	108	-0.67695004	6.4350004	7.602
j	1731438099547	124	-0.98595005	6.36	7.5810003
v	1731438099753	206	-0.92805004	6.6330004	7.59495
a	1731438099797	44	-1.25205	6.62895	7.6000504
a	1731438099838	41	-1.25205	6.6259503	7.602
r	1731438100006	168	-1.51005	6.8899503	6.88395
d	1731438100140	134	-1.74705	6.8269506	6.8749504
z	1731438100298	158	-0.96900004	6.4750504	6.867
i	1731438100421	123	-1.23	6.8179502	7.5160503
j	1731438100568	147	-0.94995004	6.4009504	7.2499504
DEL	1731438101377	809	-1.01505	6.49695	7.5810003
DEL	1731438101569	192	-0.93600005	6.53805	7.8469505
DEL	1731438101748	179	-0.65595	6.5539503	7.5670505
DEL	1731438101959	211	-0.73695004	6.255	7.5550504
DEL	1731438102160	201	-0.76305	6.60195	7.5670505
DEL	1731438102351	191	-0.64095	6.63105	7.56195
DEL	1731438102531	180	-0.74205005	6.2449503	7.56405
